id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 62801077 ,5ed964d0-5abb-11e8-911c-28924ad12c5c,  -21.980000 ,  -47.105000 ,2011-07-05 16:36:00,Brasil,SÃO PAULO,AGUAÍ,Cerrado
 62820344 ,57210e13-5abb-11e8-911c-28924ad12c5c,  -21.445000 ,  -47.045000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,MOCOCA,Cerrado
 62820365 ,398e5468-5abb-11e8-911c-28924ad12c5c,  -22.314000 ,  -49.793000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,GARÇA,Mata Atlântica
 62820364 ,398e5467-5abb-11e8-911c-28924ad12c5c,  -22.316000 ,  -49.804000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,GARÇA,Mata Atlântica
 62820362 ,398e5465-5abb-11e8-911c-28924ad12c5c,  -22.169000 ,  -47.806000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,ITIRAPINA,Cerrado
 62820361 ,398e5464-5abb-11e8-911c-28924ad12c5c,  -21.996000 ,  -48.614000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,BARIRI,Cerrado
 62820360 ,398e5463-5abb-11e8-911c-28924ad12c5c,  -20.116000 ,  -50.326000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,FERNANDÓPOLIS,Mata Atlântica
 62820356 ,398e545f-5abb-11e8-911c-28924ad12c5c,  -22.532000 ,  -52.000000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,SANDOVALINA,Mata Atlântica
 62820350 ,398e5459-5abb-11e8-911c-28924ad12c5c,  -20.113000 ,  -50.321000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,FERNANDÓPOLIS,Mata Atlântica
 62820347 ,398e5456-5abb-11e8-911c-28924ad12c5c,  -22.166000 ,  -47.791000 ,2011-07-06 17:19:00,Brasil,SÃO PAULO,ITIRAPINA,Cerrado
 62840903 ,5edac201-5abb-11e8-911c-28924ad12c5c,  -20.421000 ,  -47.900000 ,2011-07-07 16:24:00,Brasil,SÃO PAULO,GUARÁ,Cerrado
 62840902 ,5edac200-5abb-11e8-911c-28924ad12c5c,  -20.420000 ,  -47.893000 ,2011-07-07 16:24:00,Brasil,SÃO PAULO,GUARÁ,Cerrado
 62840899 ,5edac1fd-5abb-11e8-911c-28924ad12c5c,  -20.423000 ,  -47.923000 ,2011-07-07 16:24:00,Brasil,SÃO PAULO,GUARÁ,Cerrado
 62865406 ,39963107-5abb-11e8-911c-28924ad12c5c,  -20.922000 ,  -48.687000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,MONTE AZUL PAULISTA,Mata Atlântica
 62865405 ,39963106-5abb-11e8-911c-28924ad12c5c,  -22.200000 ,  -49.695000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,GARÇA,Mata Atlântica
 62865403 ,39963104-5abb-11e8-911c-28924ad12c5c,  -21.581000 ,  -51.194000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,FLÓRIDA PAULISTA,Mata Atlântica
 62865402 ,39963103-5abb-11e8-911c-28924ad12c5c,  -22.563000 ,  -51.188000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,NANTES,Mata Atlântica
 62865400 ,39963101-5abb-11e8-911c-28924ad12c5c,  -20.600000 ,  -50.134000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,FLOREAL,Mata Atlântica
 62865399 ,39963100-5abb-11e8-911c-28924ad12c5c,  -21.262000 ,  -47.610000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,SERRA AZUL,Cerrado
 62865397 ,399630fe-5abb-11e8-911c-28924ad12c5c,  -22.119000 ,  -49.134000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,BAURU,Cerrado
 62865396 ,399630fd-5abb-11e8-911c-28924ad12c5c,  -21.264000 ,  -47.621000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,SERRANA,Cerrado
 62865391 ,399630f8-5abb-11e8-911c-28924ad12c5c,  -22.473000 ,  -49.283000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,CABRÁLIA PAULISTA,Cerrado
 62865388 ,399630f5-5abb-11e8-911c-28924ad12c5c,  -21.574000 ,  -51.201000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,FLÓRIDA PAULISTA,Mata Atlântica
 62865386 ,399630f3-5abb-11e8-911c-28924ad12c5c,  -21.065000 ,  -47.592000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,BRODOWSKI,Cerrado
 62865385 ,399630f2-5abb-11e8-911c-28924ad12c5c,  -22.298000 ,  -49.157000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,BAURU,Cerrado
 62865384 ,399630f1-5abb-11e8-911c-28924ad12c5c,  -22.202000 ,  -49.705000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,GARÇA,Mata Atlântica
 62865379 ,399630ec-5abb-11e8-911c-28924ad12c5c,  -21.818000 ,  -51.721000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,PIQUEROBI,Mata Atlântica
 62865377 ,399630ea-5abb-11e8-911c-28924ad12c5c,  -21.902000 ,  -49.407000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,PIRAJUÍ,Mata Atlântica
 62865373 ,399630e5-5abb-11e8-911c-28924ad12c5c,  -22.118000 ,  -49.125000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,BAURU,Cerrado
 62865372 ,399630e4-5abb-11e8-911c-28924ad12c5c,  -21.997000 ,  -48.487000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,BOA ESPERANÇA DO SUL,Cerrado
 62865369 ,399630e1-5abb-11e8-911c-28924ad12c5c,  -20.642000 ,  -48.602000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,BARRETOS,Cerrado
 62865368 ,399630e0-5abb-11e8-911c-28924ad12c5c,  -22.204000 ,  -47.864000 ,2011-07-08 17:07:00,Brasil,SÃO PAULO,ITIRAPINA,Cerrado
 62865360 ,399630d8-5abb-11e8-911c-28924ad12c5c,  -23.144000 ,  -49.415000 ,2011-07-08 17:06:00,Brasil,SÃO PAULO,PIRAJU,Mata Atlântica
 62865357 ,399630d5-5abb-11e8-911c-28924ad12c5c,  -23.177000 ,  -46.462000 ,2011-07-08 17:06:00,Brasil,SÃO PAULO,BOM JESUS DOS PERDÕES,Mata Atlântica
 62865351 ,399630cf-5abb-11e8-911c-28924ad12c5c,  -23.727000 ,  -48.431000 ,2011-07-08 17:06:00,Brasil,SÃO PAULO,BURI,Mata Atlântica
 62865347 ,399630cb-5abb-11e8-911c-28924ad12c5c,  -23.145000 ,  -49.425000 ,2011-07-08 17:06:00,Brasil,SÃO PAULO,PIRAJU,Mata Atlântica
