id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 66754258 ,3b906d3c-5abb-11e8-911c-28924ad12c5c,  -22.233000 ,  -50.437000 ,2012-01-02 16:54:00,Brasil,SÃO PAULO,LUTÉCIA,Mata Atlântica
 66793853 ,3b95beb2-5abb-11e8-911c-28924ad12c5c,  -21.101000 ,  -48.171000 ,2012-01-04 16:42:00,Brasil,SÃO PAULO,PITANGUEIRAS,Cerrado
 66793851 ,3b95beb0-5abb-11e8-911c-28924ad12c5c,  -21.547000 ,  -48.080000 ,2012-01-04 16:42:00,Brasil,SÃO PAULO,RINCÃO,Cerrado
 66793849 ,3b95beaf-5abb-11e8-911c-28924ad12c5c,  -21.481000 ,  -48.023000 ,2012-01-04 16:42:00,Brasil,SÃO PAULO,GUATAPARÁ,Cerrado
 66793846 ,3b95bead-5abb-11e8-911c-28924ad12c5c,  -23.340000 ,  -49.122000 ,2012-01-04 16:42:00,Brasil,SÃO PAULO,ITAÍ,Cerrado
 66832743 ,5f92444b-5abb-11e8-911c-28924ad12c5c,  -20.198000 ,  -50.695000 ,2012-01-06 16:31:00,Brasil,SÃO PAULO,ASPÁSIA,Mata Atlântica
 66832719 ,5f92444a-5abb-11e8-911c-28924ad12c5c,  -21.652000 ,  -48.561000 ,2012-01-06 16:30:00,Brasil,SÃO PAULO,TABATINGA,Cerrado
 66848649 ,3babbb2e-5abb-11e8-911c-28924ad12c5c,  -20.818000 ,  -51.094000 ,2012-01-07 17:13:00,Brasil,SÃO PAULO,PEREIRA BARRETO,Mata Atlântica
 66848641 ,3babbb26-5abb-11e8-911c-28924ad12c5c,  -21.152000 ,  -51.816000 ,2012-01-07 17:13:00,Brasil,SÃO PAULO,PAULICÉIA,Mata Atlântica
 66848640 ,3babbb25-5abb-11e8-911c-28924ad12c5c,  -20.916000 ,  -51.016000 ,2012-01-07 17:13:00,Brasil,SÃO PAULO,MIRANDÓPOLIS,Mata Atlântica
 66883750 ,3bb2413c-5abb-11e8-911c-28924ad12c5c,  -20.918000 ,  -48.957000 ,2012-01-09 17:01:00,Brasil,SÃO PAULO,TABAPUÃ,Mata Atlântica
 66883648 ,5f93530f-5abb-11e8-911c-28924ad12c5c,  -22.516000 ,  -48.893000 ,2012-01-09 17:00:00,Brasil,SÃO PAULO,LENÇÓIS PAULISTA,Cerrado
 67030451 ,3bd15407-5abb-11e8-911c-28924ad12c5c,  -20.788000 ,  -48.018000 ,2012-01-18 16:55:00,Brasil,SÃO PAULO,MORRO AGUDO,Cerrado
 67728109 ,5fa87f01-5abb-11e8-911c-28924ad12c5c,  -21.480000 ,  -48.022000 ,2012-01-29 16:36:00,Brasil,SÃO PAULO,GUATAPARÁ,Cerrado
 67728108 ,5fa87f00-5abb-11e8-911c-28924ad12c5c,  -21.844000 ,  -48.256000 ,2012-01-29 16:36:00,Brasil,SÃO PAULO,ARARAQUARA,Cerrado
 67790049 ,3be8c8c0-5abb-11e8-911c-28924ad12c5c,  -20.538000 ,  -48.830000 ,2012-01-30 17:19:00,Brasil,SÃO PAULO,BARRETOS,Mata Atlântica
 67789978 ,3be8c88a-5abb-11e8-911c-28924ad12c5c,  -22.075000 ,  -51.760000 ,2012-01-30 17:19:00,Brasil,SÃO PAULO,SANTO ANASTÁCIO,Mata Atlântica
 67858029 ,3be9cf29-5abb-11e8-911c-28924ad12c5c,  -21.659000 ,  -48.567000 ,2012-01-31 16:24:00,Brasil,SÃO PAULO,TABATINGA,Cerrado
 67858027 ,3be9cf28-5abb-11e8-911c-28924ad12c5c,  -20.644000 ,  -48.850000 ,2012-01-31 16:24:00,Brasil,SÃO PAULO,OLÍMPIA,Mata Atlântica
 67858024 ,3be9cf27-5abb-11e8-911c-28924ad12c5c,  -21.665000 ,  -48.574000 ,2012-01-31 16:24:00,Brasil,SÃO PAULO,TABATINGA,Cerrado
 67858023 ,3be9cf26-5abb-11e8-911c-28924ad12c5c,  -21.662000 ,  -48.540000 ,2012-01-31 16:24:00,Brasil,SÃO PAULO,TABATINGA,Cerrado
 67858022 ,3be9cf25-5abb-11e8-911c-28924ad12c5c,  -20.434000 ,  -48.773000 ,2012-01-31 16:24:00,Brasil,SÃO PAULO,BARRETOS,Cerrado
 67858021 ,3be9cf24-5abb-11e8-911c-28924ad12c5c,  -21.656000 ,  -48.533000 ,2012-01-31 16:24:00,Brasil,SÃO PAULO,TABATINGA,Cerrado
 67858020 ,3be9cf23-5abb-11e8-911c-28924ad12c5c,  -22.295000 ,  -48.574000 ,2012-01-31 16:24:00,Brasil,SÃO PAULO,JAÚ,Mata Atlântica
 67930757 ,5739844b-5abb-11e8-911c-28924ad12c5c,  -20.415000 ,  -50.413000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,SÃO JOÃO DAS DUAS PONTES,Mata Atlântica
 67930585 ,57398446-5abb-11e8-911c-28924ad12c5c,  -21.782000 ,  -50.072000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,GETULINA,Mata Atlântica
 67930555 ,57398444-5abb-11e8-911c-28924ad12c5c,  -21.574000 ,  -48.524000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,MATÃO,Cerrado
 67930505 ,57398443-5abb-11e8-911c-28924ad12c5c,  -20.511000 ,  -48.619000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,BARRETOS,Cerrado
 67930494 ,57398442-5abb-11e8-911c-28924ad12c5c,  -21.648000 ,  -47.751000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,LUÍS ANTÔNIO,Cerrado
 67930458 ,57398441-5abb-11e8-911c-28924ad12c5c,  -20.635000 ,  -48.837000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,BARRETOS,Mata Atlântica
 67930362 ,5739843f-5abb-11e8-911c-28924ad12c5c,  -20.634000 ,  -48.827000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,BARRETOS,Mata Atlântica
 67930360 ,5739843d-5abb-11e8-911c-28924ad12c5c,  -21.629000 ,  -47.873000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,RINCÃO,Cerrado
 67930349 ,5739843c-5abb-11e8-911c-28924ad12c5c,  -21.640000 ,  -47.881000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,RINCÃO,Cerrado
 67930336 ,5739843b-5abb-11e8-911c-28924ad12c5c,  -21.810000 ,  -48.562000 ,2012-02-01 17:07:00,Brasil,SÃO PAULO,NOVA EUROPA,Cerrado
 67930241 ,3bec8b18-5abb-11e8-911c-28924ad12c5c,  -24.552000 ,  -49.135000 ,2012-02-01 17:06:00,Brasil,SÃO PAULO,ITAPIRAPUÃ PAULISTA,Mata Atlântica
 68041298 ,573a0329-5abb-11e8-911c-28924ad12c5c,  -20.466000 ,  -50.406000 ,2012-02-03 16:55:00,Brasil,SÃO PAULO,SÃO JOÃO DAS DUAS PONTES,Mata Atlântica
 68041292 ,573a0327-5abb-11e8-911c-28924ad12c5c,  -20.923000 ,  -48.958000 ,2012-02-03 16:55:00,Brasil,SÃO PAULO,TABAPUÃ,Mata Atlântica
 68041287 ,573a0322-5abb-11e8-911c-28924ad12c5c,  -22.023000 ,  -48.989000 ,2012-02-03 16:55:00,Brasil,SÃO PAULO,AREALVA,Cerrado
 68041237 ,573a0319-5abb-11e8-911c-28924ad12c5c,  -23.946000 ,  -46.283000 ,2012-02-03 16:54:00,Brasil,SÃO PAULO,GUARUJÁ,Mata Atlântica
