id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 41689541 ,563a013b-5abb-11e8-911c-28924ad12c5c,  -20.560000 ,  -47.755000 ,2008-01-09 16:42:00,Brasil,SÃO PAULO,GUARÁ,Cerrado
 41689536 ,563a0136-5abb-11e8-911c-28924ad12c5c,  -20.516000 ,  -47.764000 ,2008-01-09 16:42:00,Brasil,SÃO PAULO,GUARÁ,Cerrado
 41689509 ,563a0132-5abb-11e8-911c-28924ad12c5c,  -23.107000 ,  -46.972000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,LOUVEIRA,Mata Atlântica
 41689506 ,563a012f-5abb-11e8-911c-28924ad12c5c,  -22.339000 ,  -47.170000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,CONCHAL,Cerrado
 41689505 ,563a012e-5abb-11e8-911c-28924ad12c5c,  -22.349000 ,  -47.172000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,CONCHAL,Cerrado
 41689504 ,563a012d-5abb-11e8-911c-28924ad12c5c,  -21.633000 ,  -51.747000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,PRESIDENTE VENCESLAU,Mata Atlântica
 41689503 ,563a012c-5abb-11e8-911c-28924ad12c5c,  -23.822000 ,  -47.271000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,PIEDADE,Mata Atlântica
 41689502 ,563a012b-5abb-11e8-911c-28924ad12c5c,  -23.823000 ,  -47.257000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,PIEDADE,Mata Atlântica
 41689499 ,563a0129-5abb-11e8-911c-28924ad12c5c,  -22.100000 ,  -49.222000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,AVAÍ,Cerrado
 41689498 ,563a0128-5abb-11e8-911c-28924ad12c5c,  -21.632000 ,  -48.413000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,MATÃO,Cerrado
 41689497 ,563a0127-5abb-11e8-911c-28924ad12c5c,  -22.584000 ,  -51.779000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,PIRAPOZINHO,Mata Atlântica
 41689455 ,563a011a-5abb-11e8-911c-28924ad12c5c,  -24.848000 ,  -48.519000 ,2008-01-09 16:40:00,Brasil,SÃO PAULO,BARRA DO TURVO,Mata Atlântica
 41689453 ,563a0118-5abb-11e8-911c-28924ad12c5c,  -24.858000 ,  -48.529000 ,2008-01-09 16:40:00,Brasil,SÃO PAULO,BARRA DO TURVO,Mata Atlântica
 41689522 ,2bcf1e59-5abb-11e8-911c-28924ad12c5c,  -23.724000 ,  -47.588000 ,2008-01-09 16:41:00,Brasil,SÃO PAULO,SALTO DE PIRAPORA,Mata Atlântica
